gene,p_val,logFC,p_val_adj,cell type
FABP3,0.9078852230479872,1.1529549,1.0,KRT5-/KRT17+ cells
DHH,0.9282920803131749,1.2031454,1.0,KRT5-/KRT17+ cells
UNC45B,0.9794866245907619,1.2082306,1.0,KRT5-/KRT17+ cells
PCDHB10,0.9487462105194959,1.3026123,1.0,KRT5-/KRT17+ cells
ZDHHC11,0.8875389847748594,1.3716986,1.0,KRT5-/KRT17+ cells
TNFRSF10C,0.9385140743872163,1.7253429,1.0,KRT5-/KRT17+ cells
ITGA11,0.9180819059355225,1.8961412,1.0,KRT5-/KRT17+ cells
NMNAT2,0.9794866245907619,3.026771,1.0,KRT5-/KRT17+ cells
SEMA3A,0.8773927363926745,4.683785,1.0,KRT5-/KRT17+ cells
CPNE7,0.9857228583079191,0.26180655,1.0,Plasma cells
LRCOL1,0.9714502875916297,0.26658425,1.0,Plasma cells
TVP23A,0.9714502875916297,0.26977512,1.0,Plasma cells
AGBL2,0.9714502875916297,0.3111699,1.0,Plasma cells
COL4A6,0.9857228583079191,0.3113496,1.0,Plasma cells
CCDC89,0.9714502875916297,0.32524028,1.0,Plasma cells
C4BPB,0.9714502875916297,0.3323015,1.0,Plasma cells
MUC16,0.9714502875916297,0.3517415,1.0,Plasma cells
WNT11,0.9714502875916297,0.35999176,1.0,Plasma cells
CNTN4,0.9857228583079191,0.3619618,1.0,Plasma cells
EOMES,0.9714502875916297,0.37204236,1.0,Plasma cells
MAP1LC3C,0.9857228583079191,0.38202673,1.0,Plasma cells
RIMS3,0.9714502875916297,0.4032078,1.0,Plasma cells
APOLD1,0.9857228583079191,0.40556327,1.0,Plasma cells
SLC28A3,0.9857228583079191,0.40864134,1.0,Plasma cells
RASD2,0.9857228583079191,0.4105084,1.0,Plasma cells
CRTAM,0.9857228583079191,0.41416577,1.0,Plasma cells
DHH,0.9714502875916297,0.41557217,1.0,Plasma cells
MUSK,0.9857228583079191,0.41749036,1.0,Plasma cells
DNASE1L3,0.9714502875916297,0.4265856,1.0,Plasma cells
TNS4,0.9571868544370549,0.4361372,1.0,Plasma cells
CFAP97D2,0.9571868544370549,0.4609858,1.0,Plasma cells
CCDC136,0.9714502875916297,0.47243473,1.0,Plasma cells
CCN3,0.9714502875916297,0.48556373,1.0,Plasma cells
KCNAB1,0.9857228583079191,0.48957112,1.0,Plasma cells
TNIP3,0.9714502875916297,0.49466658,1.0,Plasma cells
APBA2,0.9571868544370549,0.50086343,1.0,Plasma cells
CXCL14,0.9714502875916297,0.50362563,1.0,Plasma cells
ADAMTS5,0.9857228583079191,0.50539494,1.0,Plasma cells
MIR1915HG,0.9857228583079191,0.5072463,1.0,Plasma cells
ALDH3A1,0.9571868544370549,0.51828146,1.0,Plasma cells
TNFRSF10C,0.9714502875916297,0.5190964,1.0,Plasma cells
SPP1,0.9429371166574075,0.52249825,1.0,Plasma cells
PDCD1,0.9714502875916297,0.53869104,1.0,Plasma cells
POLE2,0.9571868544370549,0.55214787,1.0,Plasma cells
ZNF385D,0.9571868544370549,0.5609038,1.0,Plasma cells
SMOC2,0.9571868544370549,0.5635527,1.0,Plasma cells
SNAP25,0.9857228583079191,0.56594986,1.0,Plasma cells
PROX1,0.9571868544370549,0.5682598,1.0,Plasma cells
ALOX15,0.9571868544370549,0.5815953,1.0,Plasma cells
SLC26A10,0.9571868544370549,0.5938666,1.0,Plasma cells
APOBEC3H,0.9571868544370549,0.5977488,1.0,Plasma cells
TENM1,0.9429371166574075,0.6247137,1.0,Plasma cells
RANBP3L,0.9714502875916297,0.6306766,1.0,Plasma cells
MPP2,0.9857228583079191,0.630822,1.0,Plasma cells
PCDH15,0.9571868544370549,0.6419779,1.0,Plasma cells
FGF10,0.9429371166574075,0.6908354,1.0,Plasma cells
NR5A2,0.9429371166574075,0.70507777,1.0,Plasma cells
PAK3,0.9857228583079191,0.74916995,1.0,Plasma cells
TP53AIP1,0.9714502875916297,0.8160531,1.0,Plasma cells
PLIN1,0.9857228583079191,0.82062477,1.0,Plasma cells
MPPED2,0.9571868544370549,0.82311016,1.0,Plasma cells
C1QTNF8,0.9714502875916297,0.8359826,1.0,Plasma cells
FABP6,0.9429371166574075,0.8491479,1.0,Plasma cells
CXCL6,0.9571868544370549,0.89931035,1.0,Plasma cells
VWA5B1,0.9857228583079191,0.92858803,1.0,Plasma cells
ZNF487,0.9571868544370549,0.93239063,1.0,Plasma cells
STAC2,0.9857228583079191,0.9346182,1.0,Plasma cells
LRRN3,0.9429371166574075,1.0327922,1.0,Plasma cells
GRIP2,0.9571868544370549,1.0594685,1.0,Plasma cells
MYOCD,0.9714502875916297,1.0649713,1.0,Plasma cells
MSTN,0.9857228583079191,1.1440716,1.0,Plasma cells
PCDHB14,0.9144968884203699,1.1451854,1.0,Plasma cells
CHRDL2,0.9714502875916297,1.1764512,1.0,Plasma cells
ECRG4,0.9144968884203699,1.2296648,1.0,Plasma cells
CXCR6,0.9287056189243836,1.2611389,1.0,Plasma cells
ENPP1,0.9571868544370549,1.2620182,1.0,Plasma cells
LETM2,0.9287056189243836,1.2625529,1.0,Plasma cells
S100B,0.9429371166574075,1.306922,1.0,Plasma cells
ADCYAP1,0.9714502875916297,1.3330861,1.0,Plasma cells
FOXD2,0.9714502875916297,1.3566358,1.0,Plasma cells
COMP,0.9144968884203699,1.3985186,1.0,Plasma cells
HBG2,0.9144968884203699,1.4443855,1.0,Plasma cells
CCL11,0.9287056189243836,1.4951783,1.0,Plasma cells
FCRL3,0.9144968884203699,1.502795,1.0,Plasma cells
DEPDC1B,0.9857228583079191,1.5177592,1.0,Plasma cells
CRLF1,0.9144968884203699,1.6044205,1.0,Plasma cells
AZU1,0.9429371166574075,1.6716802,1.0,Plasma cells
CYP26C1,0.9429371166574075,1.6907748,1.0,Plasma cells
CMTM1,0.9429371166574075,1.7152992,1.0,Plasma cells
SPTB,0.9571868544370549,1.8507166,1.0,Plasma cells
NIBAN3,0.9287056189243836,2.0870986,1.0,Plasma cells
MS4A1,0.9003154305185985,2.3866997,1.0,Plasma cells
SRPK3,0.9714502875916297,2.4539986,1.0,Plasma cells
IL13RA2,0.9429371166574075,2.5298033,1.0,Plasma cells
SLC23A1,0.780165105697176,2.5340872,1.0,Plasma cells
TYMS,0.8861657244981163,2.5525455,1.0,Plasma cells
DCST2,0.9287056189243836,3.55612,1.0,Plasma cells
GCSAML,0.9714502875916297,3.9700634,1.0,Plasma cells
PRDM1,0.9096808709746059,0.25015652,1.0,MUC5B+ club
RAB3IL1,0.9660679016814164,0.2526095,1.0,MUC5B+ club
MOXD1,0.9547678109015909,0.25470522,1.0,MUC5B+ club
CPE,0.9660679016814164,0.25540942,1.0,MUC5B+ club
ASRGL1,0.9096808709746059,0.25575987,1.0,MUC5B+ club
ADAMTS2,0.9321971450375784,0.25849825,1.0,MUC5B+ club
FLT4,0.9209310850367719,0.25997567,1.0,MUC5B+ club
PHF19,0.9620312544399662,0.2616668,1.0,MUC5B+ club
FSCN1,0.9434768050344338,0.26191956,1.0,MUC5B+ club
SEMA6B,0.9547678109015909,0.26650998,1.0,MUC5B+ club
PALD1,0.9096808709746059,0.26672143,1.0,MUC5B+ club
SEMA6A,0.9660679016814164,0.2684855,1.0,MUC5B+ club
IL1RL1,0.9096808709746059,0.27077731,1.0,MUC5B+ club
ADGRL4,0.9209310850367719,0.27755126,1.0,MUC5B+ club
FHL1,0.9096808709746059,0.2816932,1.0,MUC5B+ club
TOX2,0.9209310850367719,0.29839095,1.0,MUC5B+ club
TM4SF18,0.988686268143352,0.30454007,1.0,MUC5B+ club
RGS1,0.9321971450375784,0.30593613,1.0,MUC5B+ club
SOSTDC1,0.9773748109425154,0.31210166,1.0,MUC5B+ club
MMRN2,0.898448739267454,0.31414282,1.0,MUC5B+ club
MAP2K1,0.9209310850367719,0.3165045,1.0,MUC5B+ club
PLXNA4,0.9773748109425154,0.31976077,1.0,MUC5B+ club
TNFRSF10D,0.9959592633397129,0.3220894,1.0,MUC5B+ club
GNG11,0.9209310850367719,0.33843485,1.0,MUC5B+ club
LEPR,0.9209310850367719,0.33866423,1.0,MUC5B+ club
AFAP1L1,0.8648830316200469,0.34108233,1.0,MUC5B+ club
IDO1,0.9434768050344338,0.34112948,1.0,MUC5B+ club
CYP26B1,0.988686268143352,0.3429764,1.0,MUC5B+ club
MEST,0.9547678109015909,0.35829732,1.0,MUC5B+ club
SYNPO2,0.9321971450375784,0.36104265,1.0,MUC5B+ club
GPR183,0.9321971450375784,0.36649546,1.0,MUC5B+ club
HLX,0.9209310850367719,0.37486118,1.0,MUC5B+ club
MAP1B,0.9434768050344338,0.3774467,1.0,MUC5B+ club
PDZRN3,0.887236915471953,0.39200613,1.0,MUC5B+ club
ADAMTSL2,0.9209310850367719,0.40062165,1.0,MUC5B+ club
HSPD1,0.8760476129623529,0.408644,1.0,MUC5B+ club
NOG,0.988686268143352,0.42223433,1.0,MUC5B+ club
WFDC1,0.9660679016814164,0.42226273,1.0,MUC5B+ club
KALRN,0.8760476129623529,0.43240345,1.0,MUC5B+ club
MYZAP,0.9547678109015909,0.4376054,1.0,MUC5B+ club
MME,0.9096808709746059,0.4383322,1.0,MUC5B+ club
DACH1,0.898448739267454,0.43995178,1.0,MUC5B+ club
CHIT1,0.988686268143352,0.4557115,1.0,MUC5B+ club
CD34,0.8315593838854747,0.4603838,1.0,MUC5B+ club
SSTR1,0.9547678109015909,0.46046498,1.0,MUC5B+ club
FAM124B,0.9773748109425154,0.46171057,1.0,MUC5B+ club
GNAO1,0.9547678109015909,0.46680036,1.0,MUC5B+ club
NOS1,0.988686268143352,0.48207358,1.0,MUC5B+ club
RCSD1,0.8426367567313595,0.4859801,1.0,MUC5B+ club
FLRT2,0.9660679016814164,0.49846798,1.0,MUC5B+ club
TMOD1,0.9096808709746059,0.4986513,1.0,MUC5B+ club
TSPAN7,0.9096808709746059,0.50027126,1.0,MUC5B+ club
ZBTB46,0.898448739267454,0.5049625,1.0,MUC5B+ club
PLCG2,0.8537453565365726,0.50651705,1.0,MUC5B+ club
OGN,0.9434768050344338,0.5262014,1.0,MUC5B+ club
SSC5D,0.9321971450375784,0.5303178,1.0,MUC5B+ club
OAS3,0.8426367567313595,0.53527045,1.0,MUC5B+ club
AKR1B1,0.809506831628444,0.5356862,1.0,MUC5B+ club
KL,0.9434768050344338,0.54597545,1.0,MUC5B+ club
NPR3,0.9096808709746059,0.5492695,1.0,MUC5B+ club
TYMS,0.8355118692396868,0.55739087,1.0,MUC5B+ club
GUCY1B1,0.9321971450375784,0.5612366,1.0,MUC5B+ club
PKN3,0.8648830316200469,0.56135166,1.0,MUC5B+ club
FILIP1L,0.8537453565365726,0.5658739,1.0,MUC5B+ club
KHDRBS2,0.9338077448763118,0.56775296,1.0,MUC5B+ club
TNFSF14,0.9321971450375784,0.5724839,1.0,MUC5B+ club
DNAJB1,0.8577198721977963,0.587103,1.0,MUC5B+ club
CDH13,0.9096808709746059,0.5909103,1.0,MUC5B+ club
ADORA2A,0.9209310850367719,0.59250784,1.0,MUC5B+ club
RGS13,0.9547678109015909,0.61249566,1.0,MUC5B+ club
ADAP2,0.8537453565365726,0.62896675,1.0,MUC5B+ club
GASK1B,0.8648830316200469,0.6328884,1.0,MUC5B+ club
STXBP6,0.809506831628444,0.6384424,1.0,MUC5B+ club
LTK,0.887236915471953,0.64176875,1.0,MUC5B+ club
SOCS1,0.8315593838854747,0.6684978,1.0,MUC5B+ club
MAFF,0.8537453565365726,0.6710409,1.0,MUC5B+ club
GP1BB,0.9551712425947588,0.67119706,1.0,MUC5B+ club
KDR,0.9193228891691273,0.6967144,1.0,MUC5B+ club
NRN1,0.9096808709746059,0.70744085,1.0,MUC5B+ club
SELP,0.9321971450375784,0.71338755,1.0,MUC5B+ club
SEMA3D,0.9321971450375784,0.7184787,1.0,MUC5B+ club
ATF5,0.9410587029771593,0.75340587,1.0,MUC5B+ club
CTNNAL1,0.7658689117206168,0.76396686,1.0,MUC5B+ club
PLVAP,0.9321971450375784,0.76694006,1.0,MUC5B+ club
SIGLEC8,0.9773748109425154,0.77457094,1.0,MUC5B+ club
C15orf48,0.9434768050344338,0.7823262,1.0,MUC5B+ club
ITGA2,0.595597434122286,0.79810184,1.0,MUC5B+ club
FCER1A,0.9660679016814164,0.80443764,1.0,MUC5B+ club
FLNB,0.6946992369085893,0.8474031,1.0,MUC5B+ club
CYP27A1,0.7123636358621732,0.90083814,1.0,MUC5B+ club
HILPDA,0.887236915471953,0.90246433,1.0,MUC5B+ club
SAMD11,0.9096808709746059,0.90794,1.0,MUC5B+ club
PDE5A,0.7876045194542355,0.9249815,1.0,MUC5B+ club
CTNNB1,0.8351164319750476,0.95219207,1.0,MUC5B+ club
IL18,0.8303744636610212,0.9699842,1.0,MUC5B+ club
PRKCQ,0.8537453565365726,0.9736934,1.0,MUC5B+ club
TEAD4,0.8315593838854747,0.9787169,1.0,MUC5B+ club
LZTS1,0.9660679016814164,0.98131365,1.0,MUC5B+ club
HSPA1A,0.7018208626663105,1.0143112,1.0,MUC5B+ club
RARRES1,0.8426367567313595,1.0277945,1.0,MUC5B+ club
CHRD,0.9209310850367719,1.0442554,1.0,MUC5B+ club
CD226,0.887236915471953,1.0707642,1.0,MUC5B+ club
ATP8B1,0.7237207381426279,1.0709208,1.0,MUC5B+ club
HAGHL,0.7876045194542355,1.0756083,1.0,MUC5B+ club
DISP1,0.8648830316200469,1.09318,1.0,MUC5B+ club
TSC22D1,0.809506831628444,1.1050477,1.0,MUC5B+ club
GEM,0.8315593838854747,1.116332,1.0,MUC5B+ club
CASKIN2,0.6913351707562054,1.1255298,1.0,MUC5B+ club
PAMR1,0.9660679016814164,1.1864419,1.0,MUC5B+ club
NREP,0.6602382907614326,1.2298912,1.0,MUC5B+ club
APOD,0.8315593838854747,1.2935497,1.0,MUC5B+ club
ADRB1,0.7550686608335108,1.323044,1.0,MUC5B+ club
RCAN1,0.8537453565365726,1.3301253,1.0,MUC5B+ club
PLAT,0.898448739267454,1.3805645,1.0,MUC5B+ club
DUSP6,0.6705421479884328,1.3885523,1.0,MUC5B+ club
MT1X,0.8760476129623529,1.4160935,1.0,MUC5B+ club
GLB1,0.7229616698876111,1.4332224,1.0,MUC5B+ club
HIST1H4C,0.9321971450375784,1.4395146,1.0,MUC5B+ club
CTRL,0.887236915471953,1.4731714,1.0,MUC5B+ club
SLC26A2,0.8315593838854747,1.474701,1.0,MUC5B+ club
LOX,0.887236915471953,1.4833888,1.0,MUC5B+ club
ISG15,0.7985358577397773,1.4978163,1.0,MUC5B+ club
CEACAM19,0.7378118102299833,1.538447,1.0,MUC5B+ club
ITGA6,0.6809083478410695,1.5781575,1.0,MUC5B+ club
ZNF180,0.6887228769592004,1.5813633,1.0,MUC5B+ club
COMP,0.9434768050344338,1.5918176,1.0,MUC5B+ club
SPEF2,0.7229616698876111,1.5939816,1.0,MUC5B+ club
TRERF1,0.935015872959466,1.6310105,1.0,MUC5B+ club
TLL1,0.9132951464407713,1.6545655,1.0,MUC5B+ club
ZNF331,0.6499984603887832,1.7147654,1.0,MUC5B+ club
CCDC3,0.8760476129623529,1.7617654,1.0,MUC5B+ club
ITGA10,0.8648830316200469,1.7742186,1.0,MUC5B+ club
SERPINE2,0.9209310850367719,1.8398532,1.0,MUC5B+ club
TMTC1,0.809506831628444,1.8826926,1.0,MUC5B+ club
SLC17A9,0.7876045194542355,2.2668452,1.0,MUC5B+ club
CAB39L,0.8315593838854747,2.4197643,1.0,MUC5B+ club
B3GALNT1,0.7550686608335108,2.496143,1.0,MUC5B+ club
CXCL3,0.9209310850367719,2.5568914,1.0,MUC5B+ club
ZBTB14,0.8315593838854747,2.6101866,1.0,MUC5B+ club
FUCA1,0.8201215856390955,2.6601427,1.0,MUC5B+ club
PRR3,0.7805991136781946,2.7558339,1.0,MUC5B+ club
KCNIP2,0.29309523350195943,3.216081,1.0,MUC5B+ club
FBLIM1,0.8481872873230247,3.2911253,1.0,MUC5B+ club
SPNS2,0.2917024102834731,3.3807583,1.0,MUC5B+ club
UNC5B,0.809506831628444,3.618657,1.0,MUC5B+ club
PAPLN,0.09988691140016127,4.965995,1.0,MUC5B+ club
HIST1H2BG,0.9321971450375784,6.425327,1.0,MUC5B+ club
VEGFD,0.9745690355892985,0.2508786,1.0,Alveolar macrophages
ANO1,0.9618616269221415,0.25245538,1.0,Alveolar macrophages
COL27A1,0.9491638996115969,0.2527331,1.0,Alveolar macrophages
KCNK3,0.9618616269221415,0.25463912,1.0,Alveolar macrophages
CD96,0.9364790693038731,0.25777417,1.0,Alveolar macrophages
FBLIM1,0.9364790693038731,0.26349887,1.0,Alveolar macrophages
NRARP,0.9618616269221415,0.27027667,1.0,Alveolar macrophages
PCDH12,0.9618616269221415,0.27946973,1.0,Alveolar macrophages
HEY1,0.9618616269221415,0.28919867,1.0,Alveolar macrophages
MTMR11,0.9491638996115969,0.29508245,1.0,Alveolar macrophages
PPP1R3C,0.9618616269221415,0.3007239,1.0,Alveolar macrophages
GCOM1,0.9364790693038731,0.30283362,1.0,Alveolar macrophages
PCDHB12,0.9745690355892985,0.3034484,1.0,Alveolar macrophages
TSKU,0.9491638996115969,0.30901128,1.0,Alveolar macrophages
LMOD1,0.9364790693038731,0.30949372,1.0,Alveolar macrophages
GPR68,0.9618616269221415,0.3108014,1.0,Alveolar macrophages
STEAP1,0.9745690355892985,0.3113376,1.0,Alveolar macrophages
FABP3,0.9809253634593401,0.315139,1.0,Alveolar macrophages
ITGA10,0.9618616269221415,0.32309294,1.0,Alveolar macrophages
EMID1,0.9364790693038731,0.32448736,1.0,Alveolar macrophages
ARHGEF25,0.9364790693038731,0.32751304,1.0,Alveolar macrophages
TSPAN2,0.9491638996115969,0.3276414,1.0,Alveolar macrophages
FASLG,0.9618616269221415,0.34115022,1.0,Alveolar macrophages
POSTN,0.9618616269221415,0.34908262,1.0,Alveolar macrophages
PDE1C,0.9618616269221415,0.35275283,1.0,Alveolar macrophages
TGFB3,0.9491638996115969,0.35561702,1.0,Alveolar macrophages
N4BP3,0.9491638996115969,0.3561206,1.0,Alveolar macrophages
PLN,0.9618616269221415,0.3621683,1.0,Alveolar macrophages
HEYL,0.9364790693038731,0.3662684,1.0,Alveolar macrophages
TLL1,0.9745690355892985,0.37020028,1.0,Alveolar macrophages
PLA1A,0.9618616269221415,0.37443113,1.0,Alveolar macrophages
ITGA7,0.9491638996115969,0.3781468,1.0,Alveolar macrophages
GUCY1A2,0.9745690355892985,0.3781829,1.0,Alveolar macrophages
COL12A1,0.923810341830196,0.37905416,1.0,Alveolar macrophages
LOXL2,0.9491638996115969,0.3830966,1.0,Alveolar macrophages
IL6,0.9364790693038731,0.39243954,1.0,Alveolar macrophages
BCL11B,0.9491638996115969,0.40448576,1.0,Alveolar macrophages
ATP1A2,0.9745690355892985,0.4134537,1.0,Alveolar macrophages
ALOX15B,0.9364790693038731,0.41784605,1.0,Alveolar macrophages
IFIT2,0.9280312643708397,0.4272059,1.0,Alveolar macrophages
CXCL8,0.9111609107764307,0.43247095,1.0,Alveolar macrophages
BPIFB1,0.8733600977337836,0.45972928,1.0,Alveolar macrophages
CAB39L,0.9364790693038731,0.4610807,1.0,Alveolar macrophages
SLAMF1,0.9364790693038731,0.46558437,1.0,Alveolar macrophages
ADAMDEC1,0.9872829025947,0.4696579,1.0,Alveolar macrophages
LCK,0.9111609107764307,0.47384822,1.0,Alveolar macrophages
FOSB,0.8985339550682249,0.48355326,1.0,Alveolar macrophages
COL5A3,0.8985339550682249,0.4888685,1.0,Alveolar macrophages
RAMP1,0.9618616269221415,0.49853256,1.0,Alveolar macrophages
CXCR6,0.9745690355892985,0.51902574,1.0,Alveolar macrophages
CD79B,0.9618616269221415,0.5203272,1.0,Alveolar macrophages
ADM,0.9111609107764307,0.52498007,1.0,Alveolar macrophages
BAG2,0.8859326365747112,0.55685735,1.0,Alveolar macrophages
PEG10,0.9618616269221415,0.56059355,1.0,Alveolar macrophages
HAPLN3,0.8859326365747112,0.56533897,1.0,Alveolar macrophages
THBS2,0.8859326365747112,0.5792675,1.0,Alveolar macrophages
FAM110D,0.9618616269221415,0.5794003,1.0,Alveolar macrophages
KLRB1,0.9618616269221415,0.5980989,1.0,Alveolar macrophages
LYPD2,0.9745690355892985,0.6089919,1.0,Alveolar macrophages
DENND2A,0.8733600977337836,0.6174795,1.0,Alveolar macrophages
APOBEC3H,0.9618616269221415,0.6188207,1.0,Alveolar macrophages
OAF,0.8608194592019149,0.61952335,1.0,Alveolar macrophages
CD5,0.9364790693038731,0.6218178,1.0,Alveolar macrophages
ADCY5,0.9491638996115969,0.6235045,1.0,Alveolar macrophages
CDH23,0.8733600977337836,0.6925361,1.0,Alveolar macrophages
SYNPO2,0.8985339550682249,0.6982895,1.0,Alveolar macrophages
ANGPT1,0.8859326365747112,0.73279995,1.0,Alveolar macrophages
CCNO,0.9618616269221415,0.74956685,1.0,Alveolar macrophages
APOBEC3A,0.9364790693038731,0.7562995,1.0,Alveolar macrophages
SRPK3,0.9872829025947,0.77782136,1.0,Alveolar macrophages
TRGC1,0.9745690355892985,0.7815577,1.0,Alveolar macrophages
CD2,0.8358462428782412,0.83275366,1.0,Alveolar macrophages
CD3D,0.8733600977337836,0.8586495,1.0,Alveolar macrophages
FOXL1,0.9745690355892985,0.8842447,1.0,Alveolar macrophages
COL15A1,0.8358462428782412,0.91849893,1.0,Alveolar macrophages
DES,0.8608194592019149,0.95825213,1.0,Alveolar macrophages
CCL23,0.7178838858564897,0.95993656,1.0,Alveolar macrophages
CD40LG,0.9491638996115969,0.99318165,1.0,Alveolar macrophages
HS3ST2,0.9745690355892985,0.9941092,1.0,Alveolar macrophages
NXF3,0.9364790693038731,1.0191035,1.0,Alveolar macrophages
RALGPS2,0.8483138175314487,1.0384926,1.0,Alveolar macrophages
RNF122,0.8358462428782412,1.0518106,1.0,Alveolar macrophages
DGKE,0.8608194592019149,1.0530468,1.0,Alveolar macrophages
GPR155,0.8358462428782412,1.1023506,1.0,Alveolar macrophages
RNF125,0.8110374297454663,1.1031847,1.0,Alveolar macrophages
RBPMS2,0.9745690355892985,1.130253,1.0,Alveolar macrophages
KCNMA1,0.39269553482156383,1.223085,1.0,Alveolar macrophages
TRPC6,0.8110374297454663,1.2516792,1.0,Alveolar macrophages
G6PD,0.49898513686566814,1.4922453,1.0,Alveolar macrophages
TACC3,0.596127071735043,1.9528431,1.0,Alveolar macrophages
GOLGA8A,0.7987021794450067,2.142264,1.0,Alveolar macrophages
RBM20,0.9872829025947,2.146937,1.0,Alveolar macrophages
CXCL9,0.9618616269221415,2.2446904,1.0,Alveolar macrophages
ICAM3,0.8234197767424827,2.380874,1.0,Alveolar macrophages
PLA2G7,0.6212249802096774,5.2303553,1.0,Alveolar macrophages
